Unnamed: 0,GEO_ID,per_capita_income,white,black,asian,native,pacific islander,other,Under High School,High School (No College Degree),College or More,"Agriculture, forestry, fishing and hunting, and mining",Construction_and_manufacturing,trade,"Transportation and warehousing, and utilities",nerds,"Educational services, and health care and social assistance",finance_inurance_and_realty,other_services,in_labor_force,out_labor_force,avg_commute_time,avg_housing_cost_burden,avg_poverty_ratio,Congressional_District_118,Congressional_District_116
5863,1500000US371190041021,14334.0,0.1109625668449197,0.7553475935828877,0.0454545454545454,0.0187165775401069,0.0187165775401069,0.0508021390374331,0.3207792207792208,0.2818181818181818,0.3974025974025974,0.04,0.1,0.0814285714285714,0.0257142857142857,0.2742857142857143,0.3442857142857143,0.0385714285714285,0.0957142857142857,0.8652931854199684,0.1347068145800317,33.60687022900762,34.97319034852546,2.3285276073619627,14,12
5865,1500000US371190041022,20182.0,0.354924578527063,0.1259982253771073,0.1765749778172138,0.0124223602484472,0.0124223602484472,0.3176574977817213,0.2100591715976331,0.1785009861932938,0.611439842209073,0.0208333333333333,0.0766369047619047,0.0892857142857142,0.0714285714285714,0.2864583333333333,0.1354166666666666,0.1651785714285714,0.1547619047619047,0.7634146341463415,0.2365853658536585,25.206766917293223,30.43026706231453,2.3741302186878723,14,12
5867,1500000US371190042001,13475.0,0.3165829145728643,0.4271356783919598,0.0351758793969849,0.0351758793969849,0.0351758793969849,0.1507537688442211,0.495049504950495,0.3722772277227723,0.1326732673267326,0.0587002096436058,0.2033542976939203,0.1257861635220125,0.1530398322851153,0.1844863731656184,0.0587002096436058,0.0587002096436058,0.1572327044025157,0.5,0.5,29.193227091633453,46.11510791366906,1.6422413793103443,12,12
5868,1500000US371190042002,15618.0,0.153169014084507,0.5827464788732394,0.0246478873239436,0.0246478873239436,0.0246478873239436,0.1901408450704225,0.2910863509749303,0.4637883008356546,0.245125348189415,0.0456026058631921,0.1156351791530944,0.1612377850162866,0.0456026058631921,0.1514657980456026,0.1319218241042345,0.1188925081433224,0.2296416938110749,0.3835920177383592,0.6164079822616408,26.484375,38.00884955752212,2.177868852459016,12,12
5869,1500000US371190042003,18241.0,0.1938775510204081,0.5102040816326531,0.010204081632653,0.0476190476190476,0.0476190476190476,0.1904761904761904,0.4501845018450184,0.2453874538745387,0.3044280442804428,0.0587002096436058,0.1174004192872117,0.1425576519916142,0.0587002096436058,0.2368972746331236,0.060796645702306,0.1236897274633123,0.2012578616352201,0.4879518072289157,0.5120481927710844,34.58823529411763,45.26905829596412,1.2291666666666663,12,12
5870,1500000US371190042004,16472.0,0.170556552962298,0.3653500897666068,0.0125673249551166,0.0125673249551166,0.0125673249551166,0.4263913824057451,0.3900841908325538,0.372310570626754,0.2376052385406922,0.0298189563365282,0.1831735889243876,0.2577209797657082,0.0702875399361022,0.1352502662406815,0.1725239616613418,0.0447284345047923,0.1064962726304579,0.5589519650655022,0.4410480349344978,37.1631736526946,46.84210526315789,2.184076682316119,12,12
5871,1500000US371190043021,9256.0,0.1003752345215759,0.1951219512195122,0.0131332082551594,0.0131332082551594,0.0131332082551594,0.6651031894934334,0.4547738693467337,0.3228643216080402,0.2223618090452261,0.0397163120567375,0.0794326241134751,0.0794326241134751,0.1049645390070922,0.275177304964539,0.1801418439716312,0.0397163120567375,0.201418439716312,0.5267605633802817,0.4732394366197183,32.40840517241378,43.48837209302326,1.6556939501779355,12,12
5872,1500000US371190043022,19133.0,0.2661462029808374,0.4038325053229241,0.1405251951738821,0.0099361249112846,0.0099361249112846,0.169623846699787,0.3534287867370007,0.2441597588545591,0.4024114544084401,0.0501232539030402,0.1610517666392769,0.1963845521774856,0.0468364831552999,0.2612982744453574,0.0772391125718981,0.0903861955628594,0.1166803615447822,0.5679012345679012,0.4320987654320987,29.09032258064516,30.050505050505045,1.9098182536546815,12,12
5873,1500000US371190043023,7386.0,0.3267776096822995,0.4735249621785174,0.021180030257186,0.021180030257186,0.021180030257186,0.1361573373676248,0.3948967193195625,0.4216281895504252,0.1834750911300121,0.0358056265984654,0.1163682864450127,0.2774936061381074,0.0703324808184143,0.1969309462915601,0.1112531969309462,0.0626598465473145,0.129156010230179,0.6568047337278107,0.3431952662721893,26.92087155963302,35.28508771929825,1.684224049331963,12,12
5874,1500000US371190043031,8433.0,0.0943396226415094,0.194396798170383,0.1761006289308176,0.0182961692395654,0.0080045740423098,0.5088622069754145,0.4261447562776957,0.2828655834564254,0.2909896602658788,0.019047619047619,0.2238095238095238,0.1353741496598639,0.1170068027210884,0.1482993197278911,0.1,0.0680272108843537,0.1884353741496598,0.6498054474708171,0.3501945525291828,27.057692307692296,36.26334519572953,2.064237183446572,14,12
