G_num_comms,Geo_num_comms,G_uni_num_comms,cluster_size_std_Geo,G_modularity_self,Geo_modularity_self,G_uni_modularity_self,G_modularity_GeoPartition,G_modularity_GuniPartition
19,23,19,101.90807229306083,0.2877219563958125,0.518956358503204,0.14180923662388362,0.009873877602721202,0.15364530942462273
14,23,19,95.62855439605379,0.2835042337063896,0.5191986799478733,0.14107977893206433,0.008745076986795563,0.1470510986383905
18,22,16,123.7004930607436,0.28810338828634025,0.5182372905762248,0.14741973380196588,0.009673170195774277,0.15644882830978696
15,23,20,121.6396798755523,0.28553352159606105,0.5185396357728685,0.14201141954392665,0.008975306669907038,0.14889691278869213
17,22,18,106.82523187566342,0.2859006844130529,0.51875304328098,0.14294985949510164,0.009297670643165877,0.15253585890641597
16,22,18,95.63516461398392,0.2861986112917161,0.5186216656106349,0.1420823363670178,0.010246419704638505,0.15009541939486165
17,21,13,122.88268468344651,0.28534640086893803,0.5185051265022849,0.15391518841059065,0.010506673352652452,0.1601452336643607
14,22,16,118.71200131494014,0.2829929008809041,0.5175889870356517,0.14950349115141462,0.01137362907197095,0.14909137374247836
15,20,15,114.3957494839734,0.2857079143125333,0.5180339368772002,0.15110617654554873,0.009970556138424982,0.15879652890500265
17,22,18,129.55866758772814,0.2869531943743988,0.5166419937655244,0.14209579404091663,0.010480165788084717,0.14752937666016655
17,21,18,97.19965659728634,0.2856200230528171,0.5181891474936863,0.1425244520892918,0.011245272865691665,0.1538390311387748
16,21,13,116.68664551965826,0.28398531838749347,0.5175836776672785,0.15024548422746054,0.010477750132443793,0.15668157719137504
14,21,19,131.99300812926168,0.2829312596584844,0.5177403312908373,0.14206091259370254,0.010682142817755244,0.15520537727714204
17,23,15,118.45249819620732,0.28746782748990674,0.5189267454915153,0.1544478688773826,0.00921195598046476,0.1579903143727226
16,25,18,107.68323917862054,0.2858771482132507,0.5199683859268674,0.14269038533102466,0.010062242595088432,0.1491016902800758
15,22,12,100.17118612118766,0.28509420990670253,0.5191761301262764,0.1566381929072185,0.00926509867726414,0.16417666868750438
16,23,19,111.64596014132808,0.2865713981497786,0.519390909404704,0.14182674630834402,0.009149009882131326,0.1549475326775656
17,22,20,115.01064449479203,0.28587856779047766,0.5181702103326108,0.14205001456430535,0.010472130476496758,0.154140618029318
18,21,15,112.25761997579669,0.28794714291437534,0.5180293077734229,0.1541460588936593,0.00946613160662457,0.1574992062940822
16,20,18,118.28604101921748,0.2864108317235077,0.5180345127350817,0.1421082757436919,0.010464611870367735,0.15567398597259563
17,21,13,101.8825743535964,0.2861276520598569,0.5175580801631039,0.15263584284456935,0.012193444868292146,0.1572939561114698
16,23,19,118.72856686489591,0.2863840641579232,0.5183805921410953,0.14342779444535003,0.009996587323256596,0.1566596399127143
17,23,23,127.33333003427717,0.28670946758831733,0.51854932007466,0.1408294887687247,0.009207363160702323,0.148912759486371
17,23,14,131.08524766353173,0.28588925462625747,0.5183248305234351,0.15078554358698176,0.010482336287560592,0.16063040082300378
17,21,17,126.24036749585105,0.2855770109533238,0.5183979501576437,0.1462777611217798,0.010860496491135553,0.15832712756644302
17,20,18,121.54212232802256,0.2860731010025064,0.5175471829050163,0.1460466901447323,0.011200397471178847,0.1575732957298991
18,22,20,133.25912277083657,0.28796759551518025,0.5184172492368676,0.14232345626208442,0.011073434748531008,0.14794865503692597
17,23,19,133.8469063106148,0.2870909097401172,0.5181422190479379,0.14301977680104944,0.011028301062803534,0.15351659317952854
16,22,18,121.91835264119919,0.28580354970187777,0.5179893903203906,0.14112194180950605,0.009063048197212806,0.1491010444238635
15,24,18,95.1411141264502,0.28495165965644853,0.519707329816278,0.1438417369260957,0.009806709100448601,0.15984903929030425
16,21,20,114.38557145425335,0.2850270352851762,0.517762107150457,0.14302023708285716,0.009825487807311977,0.14729754948589074
15,22,14,116.52347864005847,0.28426761051138283,0.5186833815944846,0.14935028944560613,0.00964501790056995,0.15688088828494556
16,22,19,129.36731771418152,0.2858959635796338,0.5177987889453891,0.14229696186588253,0.01077546058750102,0.1519638996298268
18,22,18,109.98509478279394,0.2870544452178672,0.5178711920750032,0.14192651980460225,0.009454583169710212,0.14671102031814795
17,21,17,127.27945221800768,0.28624727162066754,0.5178709247518545,0.14252023888239615,0.009979762190261325,0.1534855981110963
15,24,12,91.0389015598399,0.2839231324836968,0.5187967198981464,0.15854760650474797,0.00849913305950943,0.16515536064253136
15,24,18,135.05245251588568,0.2835310440203083,0.5193115991259044,0.14157659516313717,0.011361413565983507,0.1495421902543086
15,22,18,90.54829540997937,0.28491017598799667,0.5173669043852975,0.14203638323172552,0.010257864453420949,0.15212229153941545
16,22,17,108.26647756941784,0.2852398367770236,0.5189147492021045,0.1465110786974211,0.01040300525648304,0.15572616246609877
17,21,14,125.95260599493803,0.2860831724828655,0.5178247138625788,0.151393379909478,0.0100253358540773,0.15392752342111374
15,22,21,117.59519618287668,0.28449824058481865,0.5188283299174806,0.14110634557296978,0.010279686041275727,0.1484083247789871
16,21,14,107.61289489365245,0.28499269706867264,0.5174338278802627,0.15376813034877723,0.010302589851552801,0.16692797484046223
14,21,18,121.52821308635998,0.2838134678766587,0.5176003632995801,0.14217815912556778,0.010150616685935922,0.15003984746397142
18,23,12,98.63081570778662,0.2877013378273664,0.5195889255437651,0.15468211757923836,0.00896250483117513,0.15391650716789837
17,21,17,107.10591955879539,0.2867604635154163,0.5180023131656631,0.14226990401527156,0.009479927424468487,0.1511344452435664
16,22,15,141.82285103036168,0.28533468246551635,0.5171965485358772,0.15002105868842402,0.011099145510503696,0.16171119941868262
17,23,20,117.12848195654306,0.2868546920185682,0.5187852641248911,0.14089809426066494,0.009555090726601666,0.14810525643286246
18,22,19,111.57342947713516,0.2873760583578108,0.5182448322875728,0.14229073302633027,0.011520515952681864,0.1480777871972761
16,21,18,113.54110606489576,0.28602028116074496,0.518026658552275,0.1453199579074224,0.010433788439386407,0.14998459078578177
18,24,15,105.2774030702801,0.28594053434763333,0.5192012702235735,0.15473602113831209,0.009048087063225154,0.16225545288667914
16,22,20,98.12882618744413,0.28512409869434224,0.5185429343384895,0.1413121635468775,0.00880413590091674,0.1461788951328928
17,24,18,132.77863130246354,0.2869664098653399,0.5181463307670202,0.14199595401005466,0.011445374365246994,0.1536121313919498
15,24,12,85.64411789816948,0.2845279184717155,0.5195615747783844,0.15801198443554398,0.009652627035645428,0.1634315091862038
17,22,15,90.57590077748547,0.2864026113775645,0.5188130619151509,0.15002000707476196,0.009127777990579043,0.15294420164771588
20,20,14,120.52463441139327,0.2884450662906279,0.5171722064113631,0.1468145481598967,0.011561701793093923,0.1547239949547387
15,23,16,111.59649160084804,0.28537161155196683,0.5189352246557601,0.15031469572816572,0.010560726559372718,0.15643957160469837
17,22,18,119.28648929751273,0.2856552086647521,0.5183995744682013,0.14332747713264946,0.01048950441285118,0.14917880787057114
17,22,19,87.9265870527442,0.287400953482367,0.5191494442138743,0.14247958957220247,0.009406545412970674,0.1527894683983893
16,23,14,111.73666043624283,0.28562341603430275,0.5183865412431374,0.15354510103769486,0.009343554161961445,0.15850483484230415
18,23,13,101.68341097766601,0.2876231861174161,0.5189354450891929,0.15365418250681878,0.00977947466671841,0.16264168421849456
16,23,16,99.80086031806961,0.28551925417064994,0.5188728604471827,0.151948671644082,0.009687136800281663,0.15311515906347165
16,22,12,134.86287035968382,0.2848974851252077,0.5170234594843621,0.1577724446423292,0.010567785928962752,0.15937079363143758
16,22,21,128.14584440400915,0.2866308284324784,0.5177679064448918,0.14141962787449097,0.009993877838399542,0.1555310011559947
18,22,17,107.25963903206674,0.2878011333419169,0.5180750867873005,0.14687143391085608,0.010045543902307707,0.1552928308121733
16,22,18,94.9229026000392,0.2861662784354344,0.5187985736845026,0.14156576493846101,0.009157336664077326,0.1524830580612338
17,23,20,114.86492437059115,0.2872391533669921,0.5185153439141506,0.14288842163305432,0.009256725343396768,0.1614882728374725
